GRPO Finetuning Log - Started at 2026-02-19 15:34:01
Arguments: Namespace(min_lights=8, max_lights=8, simple_layout=True, max_n_peaks=3, max_hue_similarity=3, d_model=64, nhead=4, num_layers=3, pretrained_path='airl_grpo_latest.pth', iterations=500, num_prompts=32, group_size=8, policy_updates=10, batch_size=64, lr=0.0001, clip_epsilon=0.2, entropy_coef=0.01, max_grad_norm=1.0, seed=42, no_cuda=False, use_bc_loss=True, bc_coef=0.1, expert_trajs_per_iter=20, use_her=True, her_in_bc=True, her_ratio=0.2, lr_scheduler='step', lr_step_size=50, lr_gamma=0.5, lr_min=5e-06, best_save_path='grpo_best.pth', latest_save_path='grpo_latest.pth', log_file='grpo_log.txt')
Iter	Policy Loss	Avg Reward	Avg Eval Reward	Avg Hue L1	Avg Value L1
309	0.262509	-0.570075	-1.791141	0.003606	0.009576
310	0.069209	-0.505665	2.881419	0.002726	0.011259
311	0.018898	-0.808880	-0.195644	0.003277	0.009009
312	0.139709	-0.605898	-0.984597	0.002897	0.009743
313	0.069738	-0.471984	4.557690	0.002986	0.011611
314	0.284630	-0.431772	4.158914	0.003072	0.010462
315	0.046998	-0.502444	2.448623	0.002738	0.010800
316	0.125107	-0.828383	-0.205437	0.003068	0.011826
317	0.142514	-0.425468	2.149632	0.003309	0.010900
318	-0.040997	-0.443613	1.214269	0.003097	0.010139
319	-0.100236	-0.525430	5.080640	0.003686	0.009508
320	0.118637	-0.506758	3.489560	0.003239	0.010568
321	0.055701	-0.574549	3.371276	0.003437	0.009795
322	0.207848	-0.516295	-2.896252	0.003553	0.010195
323	-0.062089	-0.596612	0.199596	0.003179	0.009150
324	0.124626	-0.644710	-1.007769	0.003023	0.011018
325	0.124170	-0.630386	3.562148	0.004089	0.010434
326	0.132958	-0.522179	3.930314	0.002502	0.010475
327	0.148850	-0.511044	-1.455985	0.002988	0.011340
328	0.007501	-0.433909	1.532383	0.003841	0.012921
329	0.052837	-0.608447	4.429097	0.003205	0.010562
330	0.055433	-0.530323	6.213696	0.003746	0.007506
331	0.158406	-0.266722	1.222689	0.003452	0.013048
332	0.184316	-0.867292	3.062476	0.003392	0.009938
