AIRL+GRPO Training Log - Started at 2026-02-19 10:34:54
Arguments: Namespace(min_lights=8, max_lights=8, simple_layout=True, max_n_peaks=3, max_hue_similarity=3, d_model=64, nhead=4, num_layers=3, pretrained_path='bc_latest.pth', iterations=200, expert_trajs_per_iter=50, num_prompts=32, group_size=8, disc_updates=5, batch_size=64, lr=0.0001, aux_weight=0.1, clip_epsilon=0.2, entropy_coef=0.01, max_grad_norm=1.0, seed=42, no_cuda=False, use_bc_loss=True, bc_coef=0.1, use_her=True, her_in_expert=True, her_in_bc=True, her_ratio=0.2, lr_scheduler='step', lr_step_size=50, lr_gamma=0.5, lr_min=5e-06, best_save_path='airl_grpo_best.pth', latest_save_path='airl_grpo_latest.pth', log_file='airl_grpo_log.txt')
Iter	Disc Loss	Policy Loss	Avg Reward	Avg Hue L1	Avg Value L1
174	1.371468	0.005921	-0.776584	0.002761	0.012636
175	1.266123	0.187188	-0.848970	0.002980	0.013768
176	1.454275	0.179573	-0.647118	0.002656	0.012122
177	1.337754	0.341312	-0.654691	0.003024	0.012732
178	1.429065	0.133733	-0.535703	0.002826	0.011509
179	1.407629	0.182876	-0.534972	0.002266	0.010038
180	1.347949	0.173581	-0.758709	0.002908	0.012537
181	1.435919	0.226036	-0.451847	0.003582	0.012121
182	1.341805	0.203678	-0.789188	0.002233	0.010325
183	1.301290	0.057521	-0.730967	0.002820	0.010451
184	1.387294	0.197037	-0.882434	0.002485	0.011401
185	1.317100	0.223196	-0.747720	0.002427	0.010657
186	1.360580	0.049569	-0.688719	0.003133	0.010605
187	1.388635	0.239915	-0.634380	0.002729	0.011670
188	1.385492	0.051179	-0.564865	0.003478	0.012632
189	1.349847	0.199050	-0.831990	0.002449	0.012649
190	1.371697	0.282964	-0.970288	0.002914	0.009500
191	1.444019	0.001731	-0.580479	0.003162	0.012328
192	1.420213	0.380173	-0.672096	0.002834	0.011929
193	1.292379	0.151364	-0.653639	0.002930	0.011745
194	1.339519	0.095040	-0.721711	0.002870	0.012705
195	1.323800	0.001401	-0.876929	0.002784	0.013688
196	1.356471	0.146323	-0.814282	0.002814	0.011271
197	1.387327	0.158055	-0.673222	0.002532	0.012151
198	1.361334	0.153118	-0.923665	0.002772	0.012551
199	1.400581	0.236678	-0.752841	0.002525	0.013308
200	1.330012	0.225413	-0.984170	0.002414	0.011715
Training finished at 2026-02-19 15:20:54
